"fxt-village-human-name","人类村落"
"evt-postNarrative-lateLife-soldierDeath","$他$死于一场战争，在那场战争中[他所在的小队因不服从命令而被全数剿灭|$他$在被敌军军阀捉去处决前也见证过许多场胜利|$他$为了帝国的利益牺牲了$他的$自己的生命|$他$违抗了$他的$命令，因此被自己的整个小队捅死了|$他$像自杀般地鲁莽地前进]。"
"evt-postNarrative-middleLife-1","回家后，$name[游遍了帝国的所有领域和临近王国|拜访了许多帝国管辖的地区][游说|演讲|讲述]那些著名的掠夺事迹。"
"evt-postNarrative-middleLife-2","$name 回到了$他的$家并过上了与世隔绝的生活。几年后$他$出了一本关于$他$自己的回忆录，[虽然这并没有得到人们的关注|但并没有得到人们的注意|这本书非常成功并让$他$过上了衣食无忧的日子|一夜爆红并让$他$成为了宫廷焦点]。"
"evt-postNarrative-middleLife-3","$name 留在了帝国中心再也没有回过$他的$老家。"
"evt-postNarrative-middleLife-4","$name [回到了$他的$家乡，再也没有踏足过帝国中心|同时喜欢了上了两种地方的文化并在$他的$一生中多次往返于帝国首都和$他的$远方家乡]。"
"evt-postNarrative-middleLife-5","$name 在军队中[成为了一位人物|成就了一番事业]。"
"evt-postNarrative-middleLife-6","$name 回到了皇都并自己开了[一家小|一家小小的|一家不起眼的|一家独特的][饭店|煲汤店|熟食店]，$他$一开就是好几年。"
"evt-postNarrative-middleLife-7",""
"evt-postNarrative-middleLife","$name 回到了家乡[并重操$他的$旧业|但可惜身体上的创伤不允许$他$再重操旧业了|并紧锣密鼓地开始创作题材为掠夺方式的系列科普书|之后不久$他$与他富有的伴侣结了婚|并成为了$他的$镇上的镇长|并且成为了帝国宫廷的顾问|并自己建立了一个小图书馆以此来向更多的人转播知识|一时名声鹊起，而后不久便永远地沉淀在了历史的长河中]。"
"evt-postNarrative-special-1","$name 凯旋而归，回到了[帝国的首都|帝国的中心|帝国中心边陲的丘陵|帝国中心一处宁静的山谷|帝国中心的群峰之中|帝国中心碧海蓝天的椰滩|那个被$他$称为家的地方|$他的$爱人身边|家|$他的$家乡|$他的$家人身边]。$他$度过了[平庸的|无聊的|遗憾的]一生，而且直到$他的$弥留之际$他$依然无法忘却$他$在成为人猿大帝眼前红人的最终任务中所遭遇的失败。"
"evt-postNarrative-special-2","$name 凯旋而归，回到了[帝国的首都|帝国的中心|帝国中心边陲的丘陵|帝国中心一处宁静的山谷|帝国中心的群峰之中|帝国中心碧海蓝天的椰滩|那个被$他$称为家的地方|$他的$爱人身边|家|$他的$家乡|$他的$家人身边]。$他$又生活了许多年，境遇时好时坏，但$他的$那枚勋章自从$他$出海前往世界各地寻求荣耀之后，便再也不曾被擦亮过。$他$距离流芳百世是如此接近。直到人生最后的那段时间$他$还始终记得$他的$那次失败，那次挑战极限后的失败。"
"evt-postNarrative-special","$name凯旋而归，回到了[帝国的中心|帝国首都|帝国腹地的连绵山脉深处|帝国腹地一处宁静的山谷|帝国腹地的群峰之中|帝国腹地碧海蓝天的椰滩|那个被$他$称为家的地方|$他的$爱人身边|家|$他的$家乡|$他的$家人身边]。[随着|没多久][以$他的$样貌为原型的雕像建立而成，$他$|$他$和$他的$传奇被新建成的雕像永远铭记，身为猿人皇帝的肱骨之臣，$他$] 愉悦地度过了一段[漫长的|幸福的|颇为成功] 猿生，而世人和历史将会[牢记|铭记|推崇]$他$作为[最受人尊敬的伟猿|世界伟猿|一名绽放笑颜的英雄|一名真正的英雄|一名超越极限的掠夺者|无需评价的伟大猿人|拥有无上荣耀的猿人|一代猿人永远的榜样|最伟大的猿人之一|被多数猿人所敬佩景仰的英雄之一|无数猿人的榜样和启迪者]。"
"attack-loki-name-1","稳定光束"
"attack-loki-name-2","防御光束"
"attack-loki-name","交替光束"
"np-malePraenomen","[Appius|Aulus|Caeso|Decimus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Mamercus|Manius|Marcus|Mettius|Minatius|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Postumus|Publius|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Tiberius|Titus|Tullus|Vibius|Volesus|Vopiscus]"
"np-femalePraenomen","[Appia|Aula|Caesa|Decima|Fausta|Gaia|Gnaea|Heria|Hosta|Lucia|Mamerca|Mania|Marcia|Mettia|Mino|Nona|Noviua|Numeria|Postuma|Publia|Quinta|Salvia|Septima|Sertor|Servia|Sexta|Spuria|Statia|Tiberia|Titia|Tulla|Vibius|Volusa|Vopisca]"
"np-maleNomen","[Aelius|Aemilius|Allidius|Alius|Allius|Ampius|Anicius|Annaeus|Annius|Antonius|Arellius|Arius|Atanius|Attiolenus|Audius|Aufidius|Aurelius|Avilius|Babullius|Bombius|Braundutius|Caecilius|Caelius|Caesonius|Calpurnius|Caltius|Calvius|Castricius|Cerrinius|Cincius|Cispius|Claudius|Clodius|Cluvius|Cocceius|Cottius|Cornelius|Cornius|Cossinius|Cossutius|Crassicius|Crepereius|Critonius|Decumius|Didius|Diobellius|Domitius|Egnatius|Erucius|Fabius|Fabricius|Felsonius|Flaminius|Flavius|Fulvius|Furius|Gerillanus|Gerraeus|Gessius|Granius|Heius|Helvius|Horarius|Hordionius|Hostilius|Iulius|Laberius|Labienus|Laelius|Laronius|Licinius|Livius|Loisius|Lollius|Lucceius|Lucretius|Luxius|Maecius|Magulnius|Mamilius|Marcius|Marius|Memmius|Mescinius|Messius|Mevius|Mindius|Mundicius|Naevius|Nerius|Nimmius|Nonnius|Novius|Numitorius|Nummius|Numonius|Obellius|Octavius|Ofellius|Olius|Opellius|Oppius|Orbius|Orceius|Otacilius|Paconius|Pactumeius|Pediasius|Pedius|Petronius|Pettius|Pius|Plaitorius|Plotius|Pompeius|Pompilius|Pomponius|Popilius|Popillius|Porcius|Pumidius|Quinctius|Raecius|Rasennius|Rutilius|Sabinius|Samiarius|Satricanius|Saufeius|Seius|Sempronius|Septimius|Serpoleius|Servilius|Sestius|Sextilius|Spedius|Staius|Stenius|Stertinius|Stlaccius|Sulfius|Sulpicius|Tarquinius|Titinius|Trebellius|Tuccius|Tullius|Turpillius|Tuscenius|Tutorius|Ulpius|Valerius|Varius|Venoleius|Veratius|Verrinius|Verius|Veturius|Veveius|Vibius|Vicirius|Vipsanius|Vinicius|Viseius|Vitellius|Vorenus|Umbricius|Volusius]"
"np-femaleNomen","[Aelia|Aemilia|Allidia|Alia|Allia|Ampia|Anicia|Annaea|Annia|Antonia|Arellia|Aria|Atania|Attiolena|Audia|Aufidia|Aurelia|Avilia|Babullia|Bombia|Braundutia|Caecilia|Caelia|Caesonia|Calpurnia|Caltia|Calvia|Castricia|Cerrinia|Cincia|Cispia|Claudia|Clodia|Cluvia|Cocceia|Cottia|Cornelia|Cornia|Cossinia|Cossutia|Crassicia|Crepereia|Critonia|Decumia|Didia|Diobellia|Domitia|Egnatia|Erucia|Fabia|Fabricia|Felsonia|Flaminia|Flavia|Fulvia|Furia|Gerillana|Gerraea|Gessia|Grania|Heia|Helvia|Horaria|Hordionia|Hostilia|Iulia|Laberia|Labiena|Laelia|Laronia|Licinia|Livia|Loisia|Lollia|Lucceia|Lucretia|Luxia|Maecia|Magulnia|Mamilia|Marcia|Maria|Memmia|Mescinia|Messia|Mevia|Mindia|Mundicia|Naevia|Neria|Nimmia|Nonnia|Novia|Numitoria|Nummia|Numonia|Obellia|Octavia|Ofellia|Olia|Opellia|Oppia|Orbia|Orceia|Otacilia|Paconia|Pactumeia|Pediasia|Pedia|Petronia|Pettia|Pia|Plaitoria|Plotia|Pompeia|Pompilia|Pomponia|Popilia|Popillia|Porcia|Pumidia|Quinctia|Raecia|Rasennia|Rutilia|Sabinia|Salvia|Samiaria|Satricania|Saufeia|Seia|Sempronia|Septimia|Serpoleia|Servilia|Sestia|Sextilia|Spedia|Staia|Stenia|Stertinia|Stlaccia|Sulfia|Sulpicia|Tarquinia|Titinia|Trebellia|Tuccia|Tullia|Turpillia|Tuscenia|Tutoria|Ulpia|Valeria|Varia|Venoleia|Veratia|Verrinia|Veria|Veturia|Veveia|Vibia|Viciria|Vinicia|Vipsania|Viseia|Vitellia|Vorena|Volusia|Umbricia]"
"np-maleCognomen","[Abito|Adjutor|Aemilianus|Adventus|Agrippa|Alexander|Aloysius|Alypius|Amandus|Ambrosius|Amphion|Antonius|Anatolius|Andronicus|Angelus|Aquila|Arcadius|Arvina|Asina|Augustus|Aurelianus|Aurelius|Auspex|Avitus|Balduinus|Bassus|Belenus|Belisarius|Bellator|Bellus|Bibulus|Brutus|Caelestius|Candidus|Caligula|Carinus|Carus|Castus|Celer|Cicero|Cinna|Clemens|Commodus|Crassus|Crescens|Crispus|Datus|Dannicus|Decentius|Decius|Diocletianus|Donatus|Domitianus|Draco|Drusus|Durus|Emeritus|Faustus|Felix|Festus|Firmus|Fortunatus|Fronto|Fuscus|Glaucia|Gracchus|Hadrianus|Honoratus|Honorius|Ianaurius|Ingenuus|Iovita|Iulianus|Iustus|Lepidus|Longinus|Magnus|Marcellinus|Marcellus|Marcianus|Martialis|Maximus|Nerva|Numerianus|Optatus|Primus|Priscus|Probus|Proculus|Pullo|Quintillus|Rogatianus|Rogatus|Rufinus|Rufus|Sabinus|Saturninus|Scipio|Secundus|Seianus|Severus|Silvanus|Sulla|Superbus|Tacitus|Tertius|Traianus|Urbanus|Valens|Valentinus|Valerianus|Verecundus|Verus|Vespasianus|Victor|Victorinus|Vitalis|Zeno|Zosimus]"
"np-femaleCognomen","[Aemiliana|Agrippa|Agrippina|Adventa|Alexandra|Aloysia|Alypia|Amanda|Ambrosia|Amphia|Anatolia|Andronica|Angela|Antonina|Aquila|Arcadia|Augusta|Aureliana|Aurelia|Avita|Balduina|Bassa|Belena|Belisaria|Bella|Bibula|Bruta|Caelestia|Candida|Carina|Cara|Casta|Commoda|Crassa|Crispa|Dannica|Data|Decentia|Decia|Diocletiana|Domitiana|Donata|Drusa|Dura|Emerita|Fausta|Festa|Firma|Fortunata|Fusca|Glaucia|Graccha|Hadriana|Honorata|Honoria|Ianauria|Ingenua|Iovita|Iuliana|Iusta|Lepida|Longina|Magna|Marcellina|Marcella|Marciana|Maxima|Numeriana|Optata|Quintilla|Paulla|Prima|Prisca|Proba|Procula|Rogatiana|Rogata|Rufina|Rufa|Sabina|Saturnina|Secunda|Seiana|Severa|Silvana|Superba|Tacita|Tertia|Traiana|Urbana|Valentina|Valeriana|Verecunda|Vera|Vespasiana|Victoria|Victorina|Zena|Zosima]"
"np-romanTitles","[Praetor|Consul|Proconsul|Governor|General|Warlord|Warmaster|Autarch|Exarch|Grand Vizier|Grand Hierophant|Grand Shaman]"
